holiday,workingday,temp,humidity,windspeed,count,year,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,season_fall,season_spring,season_summer,season_winter,weather_clear,weather_heavy_mix,weather_light_mix,weather_mist
0,0,0.2391304347826087,0.81,0.0,0.3519884338897944,0.0,0.5,1.0,0.5167424351252907,1.0,0.75,0.9330127018922194,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0.2173913043478261,0.8,0.0,0.4967858674139387,0.0,0.6294095225512604,0.9829629131445341,0.5167424351252907,1.0,0.75,0.9330127018922194,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0.2173913043478261,0.8,0.0,0.4610840762473969,0.0,0.75,0.9330127018922194,0.5167424351252907,1.0,0.75,0.9330127018922194,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0.2391304347826087,0.75,0.0,0.32005452800451684,0.0,0.8535533905932737,0.8535533905932737,0.5167424351252907,1.0,0.75,0.9330127018922194,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0.2391304347826087,0.75,0.0,0.0,0.0,0.9330127018922193,0.75,0.5167424351252907,1.0,0.75,0.9330127018922194,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0.2391304347826087,0.75,0.10532502644880687,0.0,0.0,0.9829629131445341,0.6294095225512604,0.5167424351252907,1.0,0.75,0.9330127018922194,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0,0,0.2173913043478261,0.8,0.0,0.0666890729054778,0.0,1.0,0.5,0.5167424351252907,1.0,0.75,0.9330127018922194,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0.19565217391304346,0.86,0.0,0.11400572314167466,0.0,0.9829629131445341,0.3705904774487397,0.5167424351252907,1.0,0.75,0.9330127018922194,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0.2391304347826087,0.75,0.0,0.24738386895263026,0.0,0.9330127018922194,0.2500000000000001,0.5167424351252907,1.0,0.75,0.9330127018922194,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0,0.32608695652173914,0.76,0.0,0.3314021644460825,0.0,0.8535533905932737,0.14644660940672627,0.5167424351252907,1.0,0.75,0.9330127018922194,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
